title,price,image
"
                                NS BIKES octane one street dirt jump bike
            ",700 ,https:////cdn1.focus.bg/bazar/c3/fp/c3c20bd0d19b39fe50739f83ad0c4ac9.jpg
"
                                Велосипед Pegasus
            ",75 ,https:////cdn5.focus.bg/bazar//79/fp/7901eea28bb025a074d260e815daa888.jpg
"
                                Велосипед Carratec
            ",130 ,https:////cdn1.focus.bg/bazar/29/fp/294c10a4f7dbb1b3306f65b84e679923.jpg
"
                                Велосипед Nirve Fairfaxт 
            ",999 ,https:////cdn5.focus.bg/bazar//59/fp/592cd39b171d5836c336b79f324a2a17.jpg
"
                                рамка 52см и вилка (феникс 28"")
            ",70 ,https:////cdn5.focus.bg/bazar/8d/fp/8d88b108c0cc43251b3b56a682942e3b.jpg
"
                                Велосипед 
            ",120 ,https:////cdn1.focus.bg/bazar/7e/fp/7e03101e7a579bba4d972136a89ab198.jpg
"
                                Продавам запазено колело
            ",300 ,https:////cdn1.focus.bg/bazar/18/fp/18420ba888752d14fdf6702dfc30d380.jpg
"
                                18цолов велосипед BMX Wicked с 30дни гаранция 
            ",89 ,https:////cdn1.focus.bg/bazar/5b/fp/5bd3d28ea6d6209f4e2b41256d2e16c1.jpg
"
                                Велосипед
            ",550 ,https:////cdn1.focus.bg/bazar/85/fp/85cb90dd4c1e76ce5611dd3d371e804e.jpg
"
                                 3 броя Велосипеди
            ",150 ,https:////cdn5.focus.bg/bazar/71/fp/713a3ef09657d59f3d1889a5d8f40644.jpg
"
                                Детски велосипед 16 цола - разпродажба
            ",69 ,https:////cdn1.focus.bg/bazar/4b/fp/4b6361302ca61368c0a67ae05c12ffec.jpg
"
                                Велосипед Phoenix на части
            ",Не е указана ,https:////cdn5.focus.bg/bazar/da/fp/daafc2a260e00a579985eb3437dafc18.jpg
"
                                Велосипед Releigh Void 24 цола
            ",175 ,https:////cdn1.focus.bg/bazar/e9/fp/e91e873c69baf06ba8a308e883e2d0c3.jpg
"
                                алуминиев велосипед 28 цола KALKHOFF-една година гаранция
            ",420 ,https:////cdn1.focus.bg/bazar/82/fp/82a0641a95ee4309e7b96e769fce251b.jpg
"
                                Продавам колело
            ",160 ,https:////cdn1.focus.bg/bazar/07/fp/076f666a501190a067dd91b894302c8d.jpg
"
                                Колело
            ",150 ,https:////cdn5.focus.bg/bazar/3b/fp/3be430105cef4b14604676d018662d15.jpg
"
                                Велосипед Appollo X Rated Jump 24 цола
            ",180 ,https:////cdn1.focus.bg/bazar/7d/fp/7de807a473af9fca959deefaaf4c37ad.jpg
"
                                Колело miutin 26”
            ",800 ,https:////cdn1.focus.bg/bazar/92/fp/9206f82ee0561a90e053590f484a1926.jpg
"
                                Немски електрически велосипед Kreidler 28
            ",1 500 ,https:////cdn1.focus.bg/bazar/c2/fp/c2d17836e616d2cd4120dcbfa1f9e4a1.jpg
"
                                Алуминиев велосипед Bulls 29
            ",900 ,https:////cdn1.focus.bg/bazar/46/fp/46dddbdc55bf343f74ca15663d4fff1c.jpg
"
                                Баланс байк Hornet 10712, 10"", Зелен
            ","64,90 ",https:////cdn5.focus.bg/bazar/9f/fp/9f3a7f85fd0ed531cd97bea9c841f407.jpg
"
                                колело бмх
            ",280 ,https:////cdn1.focus.bg/bazar/11/fp/11a4fea02c81b5835cd34624fd5472b4.jpg
"
                                28 цола алуминиев велосипед колело Pegasus
            ",250 ,https:////cdn5.focus.bg/bazar/f0/fp/f043eebade735543088465c8c3a478b2.jpg
"
                                Велосипед с 24 инчови гуми. Само лично предаване.
            ",85 ,https:////cdn5.focus.bg/bazar/65/fp/65a502f65aee53c92befa70b3fca0baf.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                Велосипед ""CAPRI""-Италия
            ",140 ,https:////cdn1.focus.bg/bazar/04/fp/0425dea5fc04328f726317e8754c578e.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД SHIMANO ROBIFIR
            ",110 ,https:////cdn1.focus.bg/bazar/fc/fp/fc049c0828bd9602026f355d6e7f9b4f.jpg
"
                                велосипед 28 цола VERDE-една година гаранция
            ",230 ,https:////cdn1.focus.bg/bazar/15/fp/150553052dd810f9026dc425104c271e.jpg
"
                                алуминиев велосипед 28 цола CALIFORNIA-една година гаранция
            ",320 ,https:////cdn1.focus.bg/bazar/65/fp/6578e95773650636f181f828f29b110e.jpg
"
                                Продавам велосипед Рокрайдер с подобрения
            ",250 ,https:////cdn1.focus.bg/bazar/0b/fp/0b8a549d0950aa4039e917a608cd60af.jpg
"
                                Продавам велосипед СПЕШНО!!!
            ",150 ,https:////cdn1.focus.bg/bazar/82/fp/82cf4bedc46273f49494f4ddc7732654.jpg
"
                                велосипед Турист
            ",Не е указана ,https:////cdn1.focus.bg/bazar/63/fp/63df1dffe296592fbc995268c369993a.jpg
"
                                велосипед ""Вела""
            ",Не е указана ,https:////cdn1.focus.bg/bazar/f8/fp/f8e06e86faa4b877ad15323c94428d0e.jpg
"
                                БМХ
            ",200 ,https:////cdn5.focus.bg/bazar/e4/fp/e41a52ce5b8f56dc892f87c7e0d51e6e.jpg
"
                                Бмх
            ",250 ,https:////cdn1.focus.bg/bazar/a5/fp/a50b6343fe37f9052bad685212fe3153.jpg
"
                                Градски велосипед
            ",120 ,https:////cdn5.focus.bg/bazar/92/fp/927cc7e4970fe1b81dc2f56af6d90191.jpg
"
                                Велосипед градски OBIKE-26цола.Бартер.
            ",160 ,https:////cdn5.focus.bg/bazar/e5/fp/e5c1468f5a90799fa452afa307596e70.jpg
"
                                алуминиев велосипед 28 цола BAISIKL-една година гаранция
            ",280 ,https:////cdn1.focus.bg/bazar/81/fp/8137cf7ca372ca8845d05d43ff113b9a.jpg
"
                                Велосипед мъжки 26"" LEADER WILD CAR
            ",200 ,https:////cdn1.focus.bg/bazar/32/fp/322552ed96a9c32c2e37371b81ac0525.jpg
"
                                Sintero Plus 2018 с гаранция
            ",600 ,https:////cdn1.focus.bg/bazar/4c/fp/4cb577e0f6404074ece560e509e72c68.jpg
"
                                алуминиев велосипед 28 цола TRIUMPH-една година гаранция
            ",380 ,https:////cdn1.focus.bg/bazar/75/fp/750b16d07d7dc94dd964636cfb23ac69.jpg
"
                                Алуминиев велосипед 28 цола 
            ",350 ,https:////cdn1.focus.bg/bazar/73/fp/73c24518d92cd38c520e1be5a3fde63c.jpg
"
                                Алуминиев велосипед 26 цола 
            ",320 ,https:////cdn1.focus.bg/bazar/ec/fp/ec93c69f42103a42b51e781ccb8b094d.jpg
