nid,visits,tags
135936,1671,1
23912,1671,1
112482,1670,1
113602,1669,1
142906,1669,8
58744,1669,1
7423,1669,1
24254,1669,2
6127,1668,1
113768,1668,1
23957,1668,1
57970,1668,1
16098,1667,1
28341,1665,2
147115,1665,1
24112,1664,1
6848,1664,1
113594,1663,1
144153,1663,8
9513,1663,1
145102,1662,2
9251,1662,1
6427,1662,1
144220,1662,1
112188,1661,1
30709,1661,1
113422,1660,1
24124,1660,1
94331,1659,1
144740,1659,1
1500,1659,1
145084,1658,1
112709,1658,1
113771,1658,1
112934,1657,1
112915,1657,1
113833,1657,1
112902,1656,1
112590,1656,1
112087,1656,1
10037,1656,1
128173,1655,2
144251,1655,1
7131,1654,1
15786,1654,1
10135,1652,1
7686,1652,1
136129,1650,1
112991,1650,1
112222,1650,1
1251,1647,1
26063,1647,1
78675,1647,1
26064,1646,1
7124,1646,1
112887,1645,1
10333,1645,1
113909,1645,1
23784,1645,13
9197,1644,1
136238,1644,3
30736,1643,1
25849,1643,1
15896,1643,1
144,1643,1
155391,1643,3
9857,1643,1
144842,1642,1
111859,1642,1
26123,1642,1
30330,1642,1
8899,1641,1
136438,1641,3
30783,1641,1
79212,1640,3
15783,1640,1
81017,1639,1
30782,1639,1
113032,1639,1
30396,1639,1
155375,1638,2
155389,1638,6
155400,1638,3
157795,1638,6
113901,1638,1
10207,1637,1
144242,1637,1
10298,1636,1
144704,1636,1
128642,1635,2
23907,1634,1
22325,1633,8
24248,1633,1
22436,1633,28
7848,1633,1
128683,1632,1
111865,1632,1
22586,1632,8
128305,1632,3
92905,1631,5
6114,1630,1
113648,1630,1
23909,1630,1
93655,1630,1
15774,1630,1
8576,1630,1
144246,1629,1
91305,1628,1
144807,1628,1
24104,1627,1
21997,1627,12
22300,1627,5
111914,1627,1
8257,1626,1
6575,1626,1
144365,1625,1
30328,1625,1
30534,1625,1
26142,1625,1
30223,1624,1
8541,1624,1
113609,1624,1
2077,1624,2
15717,1623,1
30452,1623,1
91863,1623,1
57941,1623,1
7612,1622,1
15762,1622,1
113770,1622,1
12305,1622,1
10262,1622,1
10259,1621,1
113600,1621,1
145312,1621,2
146197,1620,3
10041,1620,1
24022,1620,1
112480,1620,1
1368,1620,1
144092,1619,1
9775,1619,1
91319,1619,6
115,1618,1
8322,1618,1
9764,1618,1
30567,1618,1
155385,1618,2
26061,1618,1
23450,1618,16
8765,1618,1
155379,1618,2
145323,1617,2
15925,1617,1
113599,1617,1
9498,1616,1
15720,1616,1
151911,1615,5
10141,1615,1
16205,1615,1
8943,1614,1
112933,1613,1
11519,1613,1
7516,1613,1
9320,1613,1
8276,1613,1
30422,1613,1
24128,1612,1
143417,1612,2
144793,1612,1
155371,1611,3
113904,1611,1
112319,1611,1
30249,1611,1
144289,1610,1
112479,1610,1
6141,1610,1
15763,1610,1
10144,1610,1
3399,1610,2
144764,1609,1
144743,1609,1
1130,1609,1
144587,1609,1
145338,1608,3
16192,1608,1
16184,1607,1
144732,1607,1
31323,1607,2
6905,1606,1
58135,1606,1
22570,1605,7
22829,1605,8
30320,1605,1
16181,1605,1
15751,1604,1
24092,1604,1
26090,1604,1
24243,1604,1
26124,1602,1
16188,1602,1
13028,1602,1
23516,1602,13
30733,1602,1
7500,1601,1
6551,1601,1
144786,1601,1
114180,1601,1
9646,1600,1
10138,1600,1
113767,1600,1
23932,1600,1
155376,1600,2
155381,1599,2
112935,1599,1
7779,1599,1
23908,1599,1
112510,1599,1
16089,1599,1
24002,1599,1
113598,1599,1
112854,1598,1
12749,1598,1
58979,1598,2
154797,1598,1
10006,1598,1
9048,1597,1
22221,1597,5
23936,1597,1
16208,1597,1
112066,1596,1
114185,1595,1
30394,1595,1
30795,1595,1
9234,1595,1
10057,1595,1
23823,1595,1
8692,1595,1
15650,1594,1
6555,1594,1
10039,1593,1
8151,1593,1
2115,1593,2
7636,1593,1
1447,1593,1
147013,1592,4
9879,1592,1
23828,1592,1
8281,1592,1
23964,1592,1
23405,1592,9
151451,1592,1
30376,1592,1
8650,1592,1
24129,1591,1
15633,1591,1
22746,1590,24
3120,1589,2
6324,1589,1
23970,1589,1
7745,1588,1
3689,1588,2
2251,1588,2
24081,1588,1
2529,1588,2
114181,1588,1
1609,1587,1
112416,1587,5
58294,1587,1
144787,1586,1
10151,1586,1
15708,1586,1
30570,1586,1
10196,1586,1
30454,1586,1
8940,1585,1
23723,1585,16
112326,1585,1
30794,1585,1
10288,1585,1
155380,1585,2
23892,1585,1
142256,1584,3
15653,1584,1
25769,1583,1
147980,1583,2
144705,1583,1
137201,1583,1
9441,1583,1
114096,1583,1
24255,1582,1
113774,1582,2
28030,1582,2
93531,1582,1
58038,1582,1
8749,1581,1
7256,1581,1
23941,1581,1
24023,1581,1
10024,1581,1
23958,1581,1
23465,1580,8
23671,1580,5
21731,1580,6
27940,1580,2
26918,1580,1
8906,1580,1
10064,1579,1
8240,1579,1
31959,1579,1
111838,1579,1
9512,1579,1
94401,1579,1
16171,1579,1
10329,1578,1
1297,1578,1
10349,1577,1
15752,1577,1
6988,1577,1
24257,1577,1
144366,1577,1
111,1577,1
113604,1576,1
113605,1576,1
144735,1576,1
113002,1576,1
109,1576,1
24169,1575,1
9548,1575,1
24019,1575,1
127,1575,1
7726,1575,1
9904,1575,1
6105,1574,1
30786,1574,1
15529,1574,1
9005,1573,1
155374,1573,2
112937,1573,1
14884,1573,1
6193,1573,1
7186,1573,1
155399,1573,3
144275,1573,1
23931,1572,1
58062,1572,1
9332,1572,1
15523,1571,1
8312,1571,1
6584,1571,1
30693,1570,1
6225,1570,1
15750,1570,1
145970,1570,4
137769,1569,3
111861,1569,1
118,1569,1
23885,1569,1
30273,1569,1
16191,1568,1
15527,1567,1
112938,1567,1
23914,1567,4
112322,1567,1
6465,1566,1
139,1566,1
10065,1566,1
15723,1566,1
1201,1566,1
8234,1566,1
6657,1565,1
59182,1565,2
3409,1565,2
6879,1565,1
124,1565,1
158,1564,1
23712,1564,13
8590,1564,1
30397,1564,1
7025,1564,1
112060,1564,1
16183,1564,1
7748,1563,1
30798,1563,5
113090,1563,1
113091,1563,1
6421,1563,1
23915,1562,1
7564,1562,1
9286,1562,1
22490,1562,22
24126,1562,1
6816,1562,1
155393,1561,3
6402,1561,1
30545,1561,1
10085,1561,1
23817,1561,1
113092,1561,1
9069,1560,1
106,1560,1
170,1560,1
15743,1560,1
24249,1560,1
6235,1560,1
23968,1560,1
15531,1560,1
15534,1559,1
113086,1559,1
25977,1559,1
23934,1559,1
8264,1559,1
111767,1559,1
111978,1558,1
7608,1558,1
6712,1558,1
117,1558,1
300,1558,1
23068,1558,13
24109,1558,1
113601,1558,1
7973,1557,1
8517,1557,1
1229,1557,1
30548,1557,1
144273,1557,1
145023,1557,2
9483,1557,1
6842,1556,1
15528,1556,1
3557,1556,2
16195,1555,1
7522,1555,1
24101,1555,1
30698,1555,1
7900,1555,1
24037,1555,1
11890,1555,1
145793,1555,2
7680,1555,1
15918,1554,1
15769,1554,1
9177,1554,1
1860,1554,1
76751,1554,1
24097,1554,1
8778,1554,1
21788,1554,9
10007,1553,1
9281,1553,1
145960,1553,2
155775,1553,7
113095,1553,1
108,1553,1
7344,1553,1
8635,1553,1
113088,1553,1
8081,1553,1
7688,1553,1
30323,1553,1
6506,1553,1
25206,1552,1
144382,1552,6
153,1552,1
145357,1552,2
6913,1551,1
